scope,feature_name,importance_wape_mean,importance_wape_std
ALL,target_month_num,0.0009462622210270055,0.00015120809490842824
ALL,target_quarter,0.0,0.0
ALL,target_year,0.0,0.0
ALL,target_days_in_month,-5.484623007001588e-05,4.959389132119796e-05
ALL,target_month_sin,0.00432355008630203,0.0010864207837634199
ALL,target_month_cos,-8.816739691519526e-05,7.023189302957089e-05
ALL,target_weekday_count,-0.0007198882986204636,7.11270202667924e-05
ALL,target_public_holiday_event_count,0.0026078453140984115,0.00010044695477151588
ALL,target_statutory_holiday_nominal_days,-0.0002021646409263722,7.214825927248647e-06
ALL,target_working_days_proxy,0.00808269145165097,0.00039789367805354026
ALL,target_lunar_month_mid,0.00223740877805656,0.0011415334781368358
ALL,target_lunar_month_mid_is_leap,0.0,0.0
ALL,target_lunar_month_sin,0.00010598895834190714,5.567352374447054e-06
ALL,target_lunar_month_cos,0.0,0.0
ALL,target_tet_day_of_month,0.0,0.0
ALL,target_days_to_next_tet_from_midmonth,0.002976901100418594,0.001005954809297771
ALL,target_days_since_prev_tet_from_midmonth,0.0031422345147420483,0.00019882482898325726
ALL,target_is_tet_month,0.0,0.0
ALL,target_is_post_tet_month,-1.9703595286024722e-05,2.353089830187116e-05
h1,tile_size_code,0.007243509728914743,0.0011497682790094776
h1,months_since_first_positive,0.0007417311098543156,0.0006776113546259621
h1,months_since_last_positive,0.004239988138938833,0.0002292459292230764
h1,pair_lag_1,0.03987015504274999,0.00027849576406929755
h1,pair_lag_2,0.005318321298892703,1.4661614999134098e-05
h1,pair_lag_3,0.0002557875317177327,0.00012082139519176138
h1,pair_lag_6,-0.0005451648530559461,0.0002224968168519914
h1,pair_lag_12,0.0007611896266737084,9.960388311813784e-05
h1,pair_roll_3_mean,0.03501719272834164,0.0007362494263313812
h1,pair_roll_3_sum,0.017472927745190603,0.00022028527923301233
h1,pair_roll_3_std,0.0026115813831027457,0.00037605709613247607
h1,pair_roll_3_target_available_count,0.0,0.0
h1,pair_roll_3_positive_count,0.0009287149501919778,9.355332260108096e-05
h1,pair_roll_3_coverage,0.0,0.0
